number,province_code,province,city_code,city,ownership,type,capacity_weight,capacity_volume,capacity_num,length,width,height,v_length,v_width,v_height,fuel_cost,merit_pay
川A410K3,510000,四川省,510100,成都市,自有,小卡,1800,13.6,911,4200,1800,1800,6000,1920,2900,150,60
川AJ8902,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8905,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8907,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8917,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8920,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8921,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8922,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8925,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8927,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8932,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8939,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AJ8957,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AM2237,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AM2270,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AM2272,510000,四川省,510100,成都市,自有,小卡,1750,13.6,911,4200,1800,1800,6000,1880,2825,150,60
川AU5308,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3379,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3391,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3386,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3371,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3285,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3278,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3281,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3287,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3262,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3237,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3260,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3312,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3173,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AU3300,510000,四川省,510100,成都市,自有,小卡,2995,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AF2798,510000,四川省,510100,成都市,自有,小卡,2202,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川A5703Q,510000,四川省,510100,成都市,自有,小卡,2850,14.6,978,4050,1900,1900,6000,1980,2950,150,60
川AAR971,510000,四川省,510100,成都市,自有,小卡,2865,17,1139,4250,2000,2000,6000,2060,3080,150,60
川AAL129,510000,四川省,510100,成都市,自有,小卡,2865,17,1139,4250,2000,2000,6000,2060,3080,150,60
川AAR980,510000,四川省,510100,成都市,自有,小卡,2865,17,1139,4250,2000,2000,6000,2060,3080,150,60
川AAS311,510000,四川省,510100,成都市,自有,小卡,2865,17,1139,4250,2000,2000,6000,2060,3080,150,60
